stars,business_id,user_id
5.0,Sushi Mocorito,VwiSIN1aeTtbr7Iw2MfwdA
5.0,Bistro Divino,5KZS8cmUhoGTSjxY8aWwLA
4.0,Bistro des Moulins,uoj65cz5u8xEj8qvjLTxRg
3.0,Braseiro,jlb7KlJ-5--lnrZUzx971w
5.0,Arizona Florist,N667DoSR57cOUysFmxVG2Q
2.0,Emerald Chinese Restaurant,AhZFLXh9qYR2sm_t6EsHPg
1.0,Ume Fashion Sushi,GGYG1LEKGQvwa0In89ROSQ
5.0,Three Square,NIeLhx7kQ7KROhH2zs5qYw
1.0,Three Square,J6XspsHlrADTCzhFUGrHyA
4.0,Buk Chang Dong Soon Tofu,oTaktBFskOlb6-qKHSposQ
3.0,Graphic Web Design,0F40lzN0ELvTm3EpubSa_A
5.0,Key To Healing Massage,wL2pP0qCbRmML_SMeic1vQ
1.0,Sanagan's Meat Locker,AvC5XQAElcGAAn_Wr5auEg
1.0,Wendy's,Z9ipC7j4nWyyuNus_fcoYQ
1.0,MinuteClinic,O5IPoolTMnBBNf5XfpgINQ
4.0,AW Collision,Q9x-MEp8Yx5QG78lU_f2mA
2.0,Sonoma Village,ZErRg_qj5CGgzs-57bnA8A
2.0,Protection 1 Security Solutions,GGYG1LEKGQvwa0In89ROSQ
4.0,Aroma Espresso Bar,AIgS-xHC1YL-cobhQkMjFA
3.0,Olson Eye Care,pDvDLpD7CiMlIebsDPCRSQ
4.0,Pine Village Apartments,cUq2wYuvc7EOKsBU_ksTuw
3.0,Circle K,QczzfPB-yoNe8SEw715w_g
3.0,Bank of America,Zj665BfmiIWHHT-ZEuPVJA
3.0,Sushi Mocorito,GB-YAZtZg2tCwRW-wp1ZPg
3.0,Desert Shores Dentistry,dS04EzzFlCCFZSWhNc0w0A
3.0,Hall Brent R DDS,NA2fqZ012oH1N-jXel1ifg
1.0,Wesley Friedman - FBC Mortgage,JVxnj0BKbMxY8NorB_oUPg
5.0,Tavolino,ny5uD7wcIZ01hUXE50Qz2Q
5.0,Hanratty Law Group,YZZaaZGdZ08L1h3XWPrwJw
1.0,Stein Mart,UR9vG3PY54llUuqDE-tSEg
2.0,MinuteClinic,N667DoSR57cOUysFmxVG2Q
4.0,Bank of America,W7DHyQlY_kXls2iXt-_2Ag
4.0,Aroma Espresso Bar,NDhDMKqSiBc0L06jKlFnmg
2.0,Fremont Arcade,ftUrNSpxUr8eWCyOlsZVgg
2.0,D&S Automotive Collision & Restyling,1jgHer0B9CS1DtFS5a_5Kg
1.0,A&T Remodeling Stucco,ZErRg_qj5CGgzs-57bnA8A
2.0,Westwood Bar & Grill,J2DrQYwJpnDlunOpbwRMaw
4.0,Tomkins Park,UsJ9J1MVgCQLerr7qb95IQ
4.0,Today's Market,IQxxRjR4_htXLVMccyz5_Q
1.0,D&S Automotive Collision & Restyling,O0R4hZgoqpDKxtYdUUZHxg
2.0,Daily Donut,IhHWf27r2-VTPJsIgIBncg
3.0,Salon Glow,wujxgJ8vk2_bpw1sbXtyow
5.0,Laura Saucedo 702,9ktB1WEZx6ytMsRxRIMiJg
3.0,Vita Bella Fine Day Spa,PS7-6Eb3rNLFr7_lomJMVg
2.0,Multi-Specialty Physicians,OJycQI0TVQSN_785pzMH4g
5.0,The Lounge Barber Shop,P2ZK_uDduvKbKgmNuyZQ4w
2.0,Inspire! Dental,3vr42-TF3V31LrN5sAFbDQ
3.0,Today's Market,Wp11jaXd3nQGwxTVH5ZTyg
4.0,Totum Life Science,RVFfM64wqSG_Jdfs6Oek6w
1.0,Laura Saucedo 702,XrUYUXCeDRMgnHPdCxnO6A
2.0,Vals Getaway DES Cafeteria,AUW3WPtO93TVYYH2zFRE3g
1.0,Graphic Web Design,xa7CkIIGnTB2HbFO0TlR6w
5.0,Acupuncture with Ashlee,ZErRg_qj5CGgzs-57bnA8A
3.0,OzBraz,oGQnKOBNrwERM-MLLfpyGA
1.0,Edgeworxx Studio,pVVvmkYQ11vfScY6YHE4ww
4.0,Secrets de Femme,pVVvmkYQ11vfScY6YHE4ww
3.0,Today's Market,xZ-Np5I3hiOQdlkjn77IgA
3.0,Maurices,YfbeP6-sCkRIcV93j1atZw
5.0,M Catering by Michael's,HaPtQKTZmtIDjyKzjaCmqA
2.0,GiGi's Boutique Fine Consignment,L5u_8CR1N5ZGfUNHe9MWEw
4.0,Salon Glow,v7eUh2t_1slVTOQMy-GrGg
3.0,National Equity Consultants,YTuksHb6YsMI62BqEG_eRA
4.0,Pallucci,LkY684w7qaiZgjTxM1cDkA
2.0,Ross Dress for Less,d-mrBy7h0aW63uN3N8M1wQ
2.0,The Estancia Club,FtEA96l9jv_lzKzKJBYUVQ
2.0,National Equity Consultants,ygkpsZ-JKp8p8hiX4PWx0w
2.0,Ravi Soups,LkY684w7qaiZgjTxM1cDkA
3.0,Circle K,nipGPmPj966iLJQCf9P8tg
4.0,Arizona Biltmore Golf Club,GQzrkCr585I49766K7u8jw
4.0,Vita Bella Fine Day Spa,v7eUh2t_1slVTOQMy-GrGg
5.0,Marlene's Baker Supply,BuySmQCaHJslLsZbAflflg
5.0,Tavolino,M0DM77NUD5_w4EHuH2vZNg
3.0,Edgeworxx Studio,bhk04kv2BU9tVRUeJ7808w
4.0,Nail Nail,OtdA44C6CAEkl5Iy7UeRPA
4.0,Gourmet Gringos,wDc4RxHpfwB49EpNZu1jfg
1.0,Dairy Queen,bkMC0dAn3A_-a7K13a21eg
5.0,Torrid,vF4V1fOdu2NOXTPnTUKZOw
2.0,Venetian Nail Spa,rS1iWKRclwrR62TWkraEzQ
1.0,Bistro Divino,4kKB5U9RohegHABv3qpyQg
5.0,Howlers Craft Burgers & Beer,VgSj3y98rnV0DKFHnLz_ag
5.0,The Kilted Buffalo Langtree,j9vih1KD2r-NLlaHfZPkRA
1.0,Myron Hensel Photography,WU7NJ-YfRDdsIpNtKjaDcg
1.0,Tiffany & Co - Forum Shops at Caesar's Palace,i-gDfcrFLVhrNhBCUAhFpg
3.0,The Spoke Easy,4kKB5U9RohegHABv3qpyQg
2.0,Uncle Otis Clothing,KToh1I24rr_bDBC3dK716Q
2.0,J-C Foodland,jY1shXf_LQVhSoUyoXqQRQ
4.0,Desert Shores Dentistry,OzETGbgcAn8udzCgzUjp0g
1.0,Supercuts,ei0HDugfhZ2SIqzym7QQog
1.0,Dulce Alterations,8jmSP3yNcqInJ5Y-VytvIA
3.0,Tim the Tool Man,myguPkXfaPRMrOQLp4ucZA
1.0,D&S Automotive Collision & Restyling,WU7NJ-YfRDdsIpNtKjaDcg
3.0,JSE Automotive Services,xDJRriqJAPDap3E2scDRJw
4.0,Hanratty Law Group,FtEA96l9jv_lzKzKJBYUVQ
2.0,Dulce Alterations,zZ15zVHIDZeilePQiDtZ4w
2.0,Maurices,3oGdFyU9xVYRrDpEcwAuvQ
5.0,Carl's Place - 900 Series Motorsports,cUq2wYuvc7EOKsBU_ksTuw
4.0,Feast Buffet,n6wUNvjk2_PjtCn6ZhBObg
1.0,Key To Healing Massage,GGYG1LEKGQvwa0In89ROSQ
2.0,Caffeine,5o_DqiEfbkRVN_btwDH33g
1.0,Hair by Sharyn,an08zwBxE2nUtKB-1KS9pw
2.0,A&T Remodeling Stucco,HjOrNOi9MRp9uh-OfiJn_A
1.0,Salt Cellar,jMGnFq3i6YiRI8No1UkEPg
1.0,The UPS Store,7ErDqJNuoW2_Wzz9xRTW4A
4.0,Stein Mart,GrTcwQfPTqkIEwwp4T6XYg
1.0,Starbucks,GD4dDukzxty660w6EdEHNg
1.0,Mad Crush Wine Bar,pn3jiwycu7ckson_W9UYCA
1.0,Goveias Salon & Spa,VgSj3y98rnV0DKFHnLz_ag
2.0,Burrito Bandidos,PAzgMhSXGokkOw2CMZUI1w
1.0,Hall Brent R DDS,ygkpsZ-JKp8p8hiX4PWx0w
5.0,Arizona Biltmore Golf Club,dx20CPaY-VOFA6d2KQpAgg
3.0,Queen City Plumbing,oG9VFtr_ye8v2tDnS3NOYw
3.0,Vic's Auto Repair,qTcese4apYSlYZpSZyj6NA
3.0,Uncle Otis Clothing,dt9IHwfuZs9D9LOH7gjNew
2.0,Key To Healing Massage,kH0a5lXS-C638GtYZ-GBng
2.0,The Steady Cafe & Bar,ca1hrwl6Uq1d8oX3hmpd8A
4.0,Braseiro,pVj37cy4Y6FfH9YIlEhsZA
1.0,Caffeine,CBnYHrJwM5KefTC6zN0aJA
1.0,Bistro des Moulins,L-28QuOHNHa4btkRO_Qidw
4.0,Club Red,AcACnStBqFPWislA1mkclA
4.0,GiGi's Boutique Fine Consignment,p19pm66I-2T3UQUaNh02Cg
5.0,Vic's Auto Repair,ly0m1d1NMOTzUKrH73zhzQ
5.0,Protection 1 Security Solutions,oF_vwmhGi-JechfnimM60Q
4.0,The Spoke Easy,ZVWJJnaWs5i8KxG18XzRIw
4.0,Graphic Web Design,PWSPlt5Oy1KRSWGjRg5tIg
4.0,Bank of America,f5DGDDqUjQkAih8Cr4BEzg
5.0,Dulce Alterations,QAcsb_E38X5yHBOoouNooA
3.0,Marco's Pizza,jG7130OQWiftvHhtyabsog
3.0,Kidz Kidz Kidz Preschool,5BwurcGx34N6cJyDzMviJA
3.0,MinuteClinic,ufauqkqDhO9FEh861_pTVw
3.0,The Spoke Easy,8f5kGOQDFd8Evxcd8phJKw
4.0,No. 1 Sushi Sushi,rS1iWKRclwrR62TWkraEzQ
5.0,Ohio Beer Garden,wlphxG_hFKGfZJrILPyYoA
4.0,Bruster's Real Ice Cream,aiOxgg0A79yO39BfeI841A
2.0,Nucleus Information Service,uaasD9MDERT2BG_gkDehew
2.0,Inspire! Dental,Z1fpubHlmHeKY2dQBBbH9Q
4.0,Restaurant Nhu Y,P05K_6PKY2cixSkyRHn7ng
2.0,Wesley Friedman - FBC Mortgage,7ErDqJNuoW2_Wzz9xRTW4A
5.0,Medium Rare,3r8xzVuRxbnOxYMolS_6uA
3.0,Burrito Bandidos,P05K_6PKY2cixSkyRHn7ng
3.0,Ohio Beer Garden,OtdA44C6CAEkl5Iy7UeRPA
5.0,Kibo Sushi House,eWGRRzvpex2dVpu1XZ1Gsw
3.0,Habitat For Humanity Restore,O5IPoolTMnBBNf5XfpgINQ
2.0,MinuteClinic,CZnuW6YeZg7ZIiTbmI58BQ
5.0,Protection 1 Security Solutions,cSvwgRq74ElhrE6AQEm3DQ
5.0,No. 1 Sushi Sushi,A7vhQWj1yb5plH8hbditlA
5.0,MK Remodeling & Design,MW4w71HMcOXDlL88uCuMfw
2.0,Knot Salon,Wp11jaXd3nQGwxTVH5ZTyg
5.0,Medium Rare,8WE7H_NvgM7V6IA7Ro3Prg
4.0,Dunn-Edwards Paints,dx20CPaY-VOFA6d2KQpAgg
2.0,Bakery Gateau,JEdGX7kSEz0ehySrHHs_yQ
2.0,Queen City Plumbing,xDJRriqJAPDap3E2scDRJw
3.0,Funny Stop Comedy Club,gz7bTv2cQSW75ZzV4_sqrA
2.0,North Mountain Medical & Rehabilitation Center,dS04EzzFlCCFZSWhNc0w0A
3.0,Graphic Web Design,ssyDcg7z9wn_FByH_BHoiQ
1.0,Tiffany & Co - Forum Shops at Caesar's Palace,OtdA44C6CAEkl5Iy7UeRPA
1.0,Gap,YW1cSlB1KGWliE-vl0hXMQ
2.0,Tiffany & Co - Forum Shops at Caesar's Palace,ufauqkqDhO9FEh861_pTVw
1.0,Musashi Japanese Restaurant,oGQnKOBNrwERM-MLLfpyGA
3.0,Multi-Specialty Physicians,wDc4RxHpfwB49EpNZu1jfg
3.0,Glenn Animal Care Hospital,5xLrRFjZ51J71ykb_QGQDw
1.0,Vals Getaway DES Cafeteria,eKdUOBvtY4I7q3mlRL9VTw
5.0,Restaurant Nhu Y,a-LoRh552poRuWviwGfuKw
5.0,Jared Galleria of Jewelry,UR9vG3PY54llUuqDE-tSEg
4.0,Fabulous Cakes and Confections Inc.,GGYG1LEKGQvwa0In89ROSQ
4.0,Myron Hensel Photography,9fek8sBMCATlL4k0YwtFdg
2.0,SimonMed Imaging - Mesa Drive,6MhfEioPp9LgQ2omVos1SQ
5.0,Complete Auto Glass,UUVbV8XmTzNksBOPaiO3pA
1.0,North Mountain Medical & Rehabilitation Center,yt-5sAzXFFqShn0K7HvYiQ
5.0,Pearl Garden,7VsihmrVZJzUSL_VqjEfzA
1.0,Transformers Landscaping,Ji9PeffxjwqPLO7pEfSpKQ
2.0,Medium Rare,jFrIxIfiuQaFuXl-9cp6RQ
5.0,Musashi Japanese Restaurant,_wJl4ARovWZDjYdqsrOKWQ
3.0,Multi-Specialty Physicians,a04LRLmBMXa4jta2L3nkmw
2.0,Fremont Arcade,cbfivZddqFY3QBf3uZ-m8w
5.0,Daily Donut,rxhOsjh5kTFC7FAloTVgiQ
2.0,Artisan Fine Dining Room,PAzgMhSXGokkOw2CMZUI1w
5.0,Bistro des Moulins,Q9NlyapDA97_NA0qaq8w0A
3.0,Burrito Bandidos,dbEV32TkPPz2ar3OKh75EA
4.0,Hair Design By Mary Ann,9uo26LD_YsxCcta_JmCXcg
4.0,Spectacle,5KZS8cmUhoGTSjxY8aWwLA
